N,dim,T_0,k,num_iter,rng,batch_size,dtype,time,loss
22080,81,1,64,1,42,256,FP32,0.10865020751953125,685.5819091796875
22080,81,1,64,1,42,256,FP32,0.10139298439025879,685.5819091796875
22080,81,1,64,1,42,256,FP32,0.09908413887023926,685.5819091796875
22080,81,1,64,1,42,256,FP32,0.10607695579528809,685.5819091796875
22080,81,1,64,1,42,256,FP32,0.10997796058654785,685.5819091796875
22080,81,1,64,1,42,256,FP64,0.16347098350524902,700.2969485831815
22080,81,1,64,1,42,256,FP64,0.15512681007385254,700.2969485831815
22080,81,1,64,1,42,256,FP64,0.14550161361694336,700.2969485831815
22080,81,1,64,1,42,256,FP64,0.14326930046081543,700.2969485831815
22080,81,1,64,1,42,256,FP64,0.1453559398651123,700.2969485831815
22080,81,1,64,2,42,256,FP32,0.20127129554748535,596.0284423828125
22080,81,1,64,2,42,256,FP32,0.17630791664123535,596.0284423828125
22080,81,1,64,2,42,256,FP32,0.1598052978515625,596.0284423828125
22080,81,1,64,2,42,256,FP32,0.15932273864746094,596.0284423828125
22080,81,1,64,2,42,256,FP32,0.153428316116333,596.0284423828125
22080,81,1,64,2,42,256,FP64,0.3193376064300537,605.0525565278587
22080,81,1,64,2,42,256,FP64,0.3942577838897705,605.0525565278587
22080,81,1,64,2,42,256,FP64,0.34528613090515137,605.0525565278587
22080,81,1,64,2,42,256,FP64,0.37767863273620605,605.0525565278587
22080,81,1,64,2,42,256,FP64,0.45651817321777344,605.0525565278587
22080,81,1,64,4,42,256,FP32,0.46083688735961914,564.5053100585938
22080,81,1,64,4,42,256,FP32,0.5682473182678223,564.5053100585938
22080,81,1,64,4,42,256,FP32,0.5288481712341309,564.5053100585938
22080,81,1,64,4,42,256,FP32,0.41303372383117676,564.5053100585938
22080,81,1,64,4,42,256,FP32,0.4903221130371094,564.5053100585938
22080,81,1,64,4,42,256,FP64,0.7267880439758301,568.0009998232665
22080,81,1,64,4,42,256,FP64,0.7751343250274658,568.0009998232665
